port_type,port_name,count
origin,Riga,6555
origin,Gothenburg,5677
origin,New York,4616
origin,Bordeaux,3814
origin,Cronstadt,2924
origin,Quebec,2763
origin,Christiania,2699
origin,Sundswall,2617
origin,Rotterdam,2457
origin,Memel,2129
origin,Danzig,2128
origin,Drammen,1926
origin,Montreal,1903
origin,Boston,1865
origin,Gefle,1757
origin,Stettin,1739
origin,Fredrikstad,1697
origin,Archangel,1637
origin,Porsgrund,1377
origin,Pensacola,1334
origin,Baltimore,1312
origin,Soderhamn,1180
origin,Halmstad,1110
origin,"St. John, N.B.",1103
origin,Arendal,1016
origin,New Orleans,1016
origin,Laurvig,1002
origin,Bayonne,990
origin,Christiansand,983
origin,Fredrikshald,975
origin,Kotka,903
origin,St. Petersburg,901
origin,Miramichi,885
origin,Konigsberg,831
origin,Bjorneborg,812
origin,Skien,806
origin,Oscarshamn,802
origin,Risoer,684
origin,Redon,679
origin,Hamburg,653
origin,Stockholm,643
origin,Hennebont,641
origin,Libau,640
origin,Philadelphia,639
origin,Hudikswall,614
origin,Brevig,603
origin,Wyborg,592
origin,Windau,590
origin,Drontheim,571
origin,Falkenberg,561
origin,Skutskar,517
origin,Mobile,512
origin,Hernosand,502
origin,Uleaborg,496
origin,Krageroe,488
origin,Skelleftea,469
origin,Uddevalla,455
origin,Abo,455
origin,Lulea,444
origin,Hernösand,442
origin,Rafso,429
origin,Auray,416
origin,Helsingfors,394
origin,Vannes,393
origin,Kragero,377
origin,Narva,369
origin,Tvedestrand,347
origin,Rangoon,333
origin,Fredrikstadt,314
origin,Halifax,305
origin,Ljusne,302
origin,Darien,302
origin,St. John,300
origin,Westervik,299
origin,Pitea,292
origin,Calmar,278
origin,Newport News,277
origin,Nantes,270
origin,Holmestrand,263
origin,Dantzic,261
origin,Norrkoping,243
origin,Trieste,241
origin,Warberg,236
origin,Nyhamn,234
origin,Kemi,232
origin,Bergqvara,218
origin,Mandal,217
origin,Fiume,216
origin,Moss,211
origin,Sandefjord,210
origin,Bremen,205
origin,Sandarne,197
origin,Dram,197
origin,Portland,195
origin,Norfolk,194
origin,Pascagoula,194
origin,Skonvik,191
origin,Hommelvik,190
origin,Onega,188
origin,Villagarcia,187
origin,Apalachicola,187
origin,Pauillac,183
origin,Tonsberg,182
origin,St. Brieux,170
origin,Richibucto,169
origin,Neder Kalix,168
origin,Odessa,167
origin,Nederkalix,166
origin,Roche Bernard,166
origin,Dieppe,164
origin,Arcachon,164
origin,"Halifax, N.S.",162
origin,Tornea,161
origin,Antwerp,161
origin,Bay Verte,159
origin,San Francisco,157
origin,Grimstad,156
origin,Kalmar,156
origin,Dalhousie,151
origin,Dordt,151
origin,Shediac,151
origin,Blaye,151
origin,Namsos,148
