form,total,hhi_8185,hhi_9599,trend_rho,trend_p,top_port_8185,top_share_8185,top_port_9599,top_share_9599
deals,37049,0.055,0.049,-0.42,0.229,London,0.145,London,0.114
pit props,20246,0.097,0.092,-0.32,0.365,Tyne Ports,0.144,Hartlepool (West),0.159
battens,20203,0.051,0.045,-0.49,0.15,London,0.139,London,0.113
boards,15943,0.072,0.063,-0.56,0.09,London,0.182,Liverpool,0.137
staves,13194,0.162,0.18,0.16,0.651,Liverpool,0.334,Liverpool,0.369
firewood,8564,0.111,0.097,-0.38,0.276,London,0.301,London,0.254
pitwood,8388,0.334,0.251,-0.6,0.067,Cardiff,0.48,Cardiff,0.446
ends,6690,0.08,0.075,-0.28,0.425,London,0.176,Liverpool,0.165
timber,6633,0.121,0.12,-0.14,0.701,Liverpool,0.229,London,0.186
sleepers,5717,0.078,0.085,0.21,0.556,London,0.167,London,0.149
wood,4435,0.111,0.135,0.32,0.365,Leith,0.204,London,0.256
lathwood,4091,0.081,0.092,0.15,0.676,London,0.212,London,0.221
lumber,3217,0.285,0.243,-0.65,0.043,Liverpool,0.322,Liverpool,0.396
deal ends,3045,0.122,0.18,0.48,0.162,Liverpool,0.249,Liverpool,0.332
hoops,2996,0.201,0.151,-0.53,0.139,Tyne Ports,0.255,Goole,0.144
laths,2980,0.208,0.128,-0.89,0.001,London,0.32,Hull,0.236
logs,2843,0.192,0.2,0.03,0.934,Liverpool,0.301,Liverpool,0.396
poles,2124,0.099,0.104,-0.01,0.987,Hartlepool (West),0.154,Hull,0.174
spars,2121,0.039,0.074,0.67,0.033,London,0.111,Liverpool,0.204
scantlings,2111,0.207,0.226,0.14,0.701,Liverpool,0.382,Liverpool,0.439
