origin,region,n,eff_dests,n_dests,top_dest,top_dest_share
Riga,Russia & Baltic,6931,20.0,121,London,0.111
Gothenburg,Scandinavia,5999,14.3,114,London,0.131
New York,USA & Gulf,4495,4.6,74,Liverpool,0.371
Bordeaux,France & Low Countries,3697,3.0,52,Cardiff,0.516
Cronstadt,Russia & Baltic,3245,11.5,83,London,0.179
Quebec City,British North America,3204,13.4,92,Liverpool,0.17
Sundswall,Scandinavia,2919,23.6,116,London,0.123
Christiania,Scandinavia,2810,14.1,107,Hull,0.15
Danzig,Germany & Prussia,2701,12.7,90,London,0.187
Rotterdam,France & Low Countries,2458,9.0,58,Leith,0.197
Klaipeda,Scandinavia,2335,13.7,90,London,0.197
Drammen,Scandinavia,2240,23.9,111,London,0.12
Fredrikstad,Scandinavia,2204,15.4,110,London,0.204
Gefle,Scandinavia,2060,13.6,98,London,0.172
Montreal,British North America,2009,4.9,52,Liverpool,0.375
Boston,USA & Gulf,1856,2.3,31,Liverpool,0.619
Archangel,Russia & Baltic,1821,19.4,88,Hull,0.117
Stettin,Germany & Prussia,1740,14.2,85,Hull,0.142
St. John,British North America,1614,9.1,63,Liverpool,0.293
Porsgrund,Scandinavia,1505,18.7,77,Hartlepool (West),0.13
Pensacola,USA & Gulf,1395,14.0,74,Liverpool,0.19
Baltimore,USA & Gulf,1271,4.5,53,Liverpool,0.4
Soderhamn,Scandinavia,1241,11.8,78,London,0.22
Halmstad,Germany & Prussia,1235,9.0,58,Alloa,0.213
Hernosand,Scandinavia,1184,14.7,80,Hartlepool (West),0.157
Laurvig,Scandinavia,1060,11.4,76,Tyne Ports,0.244
Arendal,Scandinavia,1056,10.7,66,Tyne Ports,0.188
Christiansand,Scandinavia,1056,9.5,69,Borrowstounness,0.265
Halden,Scandinavia,1051,17.9,88,Borrowstounness,0.156
Kotka,Scandinavia,1000,12.7,72,London,0.217
Miramichi,British North America,999,12.9,58,Belfast,0.194
New Orleans,USA & Gulf,983,1.6,34,Liverpool,0.781
St. Petersburg,Russia & Baltic,967,4.5,54,London,0.387
Bayonne,Iberia & Mediterranean,948,3.0,24,Cardiff,0.409
Konigsberg,Russia & Baltic,886,11.6,58,Hull,0.15
Kragero,Scandinavia,883,14.7,69,Tyne Ports,0.176
Oscarshamn,Scandinavia,868,10.7,52,Hartlepool (West),0.177
Bjorneborg,Scandinavia,860,16.4,78,Tyne Ports,0.129
Hamburg,Germany & Prussia,858,8.0,48,London,0.232
Skien,Scandinavia,819,14.1,70,Middlesbrough,0.168
Wyborg,Russia & Baltic,775,12.9,72,Hull,0.195
Risoer,Scandinavia,735,13.7,56,Newport,0.148
